Operation			|Read Time			|Value
RMLS_GRX_MLAL1_070	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_200	|23-08-2023 10:04	|24.6
RMLS_GRX_MLAL1_300	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_290	|45161.42192		|25.6
RMLS_GRX_MLAL1_005	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_150	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_080	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_120	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_190	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_225	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_250	|23-08-2023 10:04	|25.6
RMLS_GRX_MLAL1_220	|23-08-2023 10:04	|23.6
RMLS_GRX_MLAL1_070	|24-08-2023 10:04	|22.6
RMLS_GRX_MLAL1_070	|13-08-2023 10:04	|21.6
RMLS_GRX_MLAL1_070	|03-08-2023 10:04	|20.6
RMLS_GRX_MLAL1_300	|22-08-2023 10:04	|25.6
